Address,Sold Price,Bedrooms,Bathrooms,Area (SqFt),House Age
"1615 N Laurel Ave APT 112, Los Angeles, CA 90046",566500,1.0,1.0,844.0,
"5698 Holly Oak Dr, Los Angeles, CA 90068",2700000,4.0,5.0,3986.0,
"2531 N Commonwealth Ave, Los Angeles, CA 90027",2430000,3.0,3.0,2006.0,
"7726 Dalton Ave, Los Angeles, CA 90047",745000,4.0,2.0,1292.0,
"823 W 73rd St, Los Angeles, CA 90044",625000,2.0,2.0,1078.0,
"1254 W 80th St, Los Angeles, CA 90044",650000,2.0,2.0,1494.0,
"1236 W 81st Pl, Los Angeles, CA 90044",630000,2.0,1.0,1548.0,
"9116 S Wilton Pl, Los Angeles, CA 90047",866000,3.0,3.0,1406.0,
"9715 S Hoover St, Los Angeles, CA 90044",315630,4.0,3.0,1626.0,
"1177 Wellesley Ave UNIT 201, Los Angeles, CA 90049",1280000,3.0,4.0,2178.0,
"441 S Barrington Ave UNIT 303, Los Angeles, CA 90049",1400000,2.0,3.0,1314.0,
"9419 1/2 N Sepulveda Blvd #1, North Hills, CA 91343",650000,3.0,3.0,1494.0,
"7049 Vassar Ave, Canoga Park, CA 91303",2850000,13.0,20.0,9883.0,
"2205 N Stonewood Ct, San Pedro, CA 90732",796000,3.0,3.0,1598.0,
"521 N Via De La Paz, Pacific Palisades, CA 90272",2550000,,,,
"905 S Bedford St APT 5, Los Angeles, CA 90035",4050,3.0,2.0,1500.0,
"24673 Overland Dr, Canoga Park, CA 91304",1660000,4.0,3.0,2752.0,
"8204 Clemens Ave, Canoga Park, CA 91304",1140000,4.0,3.0,2225.0,
"6552 Valley Circle Blvd, West Hills, CA 91307",945000,3.0,2.0,1250.0,
"5539 Royer Ave, Woodland Hills, CA 91367",925000,4.0,3.0,2050.0,
"23018 Leonora Dr, Woodland Hills, CA 91367",1200000,4.0,3.0,1848.0,
"23204 Leonora Dr, Woodland Hills, CA 91367",985000,3.0,2.0,1523.0,
"4809 Dunman Ave, Woodland Hills, CA 91364",1430000,3.0,2.0,2080.0,
"6644 Bothwell Rd, Reseda, CA 91335",715000,3.0,2.0,1295.0,
"6653 Belmar Ave, Reseda, CA 91335",1050000,3.0,2.0,1092.0,
"20418 Miranda St, Woodland Hills, CA 91367",1060000,3.0,3.0,1800.0,
"20200 Clark St, Woodland Hills, CA 91367",1460000,4.0,4.0,2619.0,
"5864 Jamieson Ave, Encino, CA 91316",1600000,3.0,3.0,1993.0,
"5440 Lindley Ave UNIT 208, Encino, CA 91316",622500,2.0,2.0,1582.0,
"4730 Azucena Rd, Woodland Hills, CA 91364",3400000,6.0,5.0,5895.0,
"4717 Poe Ave, Woodland Hills, CA 91364",2230000,3.0,3.0,3136.0,
"4310 Torreon Dr, Woodland Hills, CA 91364",1110000,3.0,3.0,2122.0,
"7740 Clearfield Ave, Panorama City, CA 91402",1290000,4.0,3.0,2200.0,
"4753 Noble Ave, Sherman Oaks, CA 91403",2650000,6.0,6.0,4100.0,
"5757 Sunnyslope Ave, Van Nuys, CA 91401",825000,2.0,1.0,1033.0,
